Overall rank,Year,Country or region,Score,GDP per capita,Social support and Family,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
1,2018,Finland,7.632,1.305,1.592,0.874,0.681,0.202,0.393
2,2018,Norway,7.594,1.456,1.582,0.861,0.686,0.286,0.34
3,2018,Denmark,7.555,1.351,1.59,0.868,0.683,0.284,0.408
4,2018,Iceland,7.495,1.343,1.644,0.914,0.677,0.353,0.138
5,2018,Switzerland,7.487,1.42,1.549,0.927,0.66,0.256,0.357
6,2018,Netherlands,7.441,1.361,1.488,0.878,0.638,0.333,0.295
7,2018,Canada,7.328,1.33,1.532,0.896,0.653,0.321,0.291
8,2018,New Zealand,7.324,1.268,1.601,0.876,0.669,0.365,0.389
9,2018,Sweden,7.314,1.355,1.501,0.913,0.659,0.285,0.383
10,2018,Australia,7.272,1.34,1.573,0.91,0.647,0.361,0.302
11,2018,United Kingdom,7.19,1.244,1.433,0.888,0.464,0.262,0.082
12,2018,Austria,7.139,1.341,1.504,0.891,0.617,0.242,0.224
13,2018,Costa Rica,7.072,1.01,1.459,0.817,0.632,0.143,0.101
14,2018,Ireland,6.977,1.448,1.583,0.876,0.614,0.307,0.306
15,2018,Germany,6.965,1.34,1.474,0.861,0.586,0.273,0.28
16,2018,Belgium,6.927,1.324,1.483,0.894,0.583,0.188,0.24
17,2018,Luxembourg,6.91,1.576,1.52,0.896,0.632,0.196,0.321
18,2018,United States,6.886,1.398,1.471,0.819,0.547,0.291,0.133
19,2018,Israel,6.814,1.301,1.559,0.883,0.533,0.354,0.272
20,2018,United Arab Emirates,6.774,2.096,0.776,0.67,0.284,0.186,
21,2018,Czech Republic,6.711,1.233,1.489,0.854,0.543,0.064,0.034
22,2018,Malta,6.627,1.27,1.525,0.884,0.645,0.376,0.142
23,2018,France,6.489,1.293,1.466,0.908,0.52,0.098,0.176
24,2018,Mexico,6.488,1.038,1.252,0.761,0.479,0.069,0.095
25,2018,Chile,6.476,1.131,1.331,0.808,0.431,0.197,0.061
26,2018,Taiwan,6.441,1.365,1.436,0.857,0.418,0.151,0.078
27,2018,Panama,6.43,1.112,1.438,0.759,0.597,0.125,0.063
28,2018,Brazil,6.419,0.986,1.474,0.675,0.493,0.11,0.088
29,2018,Argentina,6.388,1.073,1.468,0.744,0.57,0.062,0.054
30,2018,Guatemala,6.382,0.781,1.268,0.608,0.604,0.179,0.071
31,2018,Uruguay,6.379,1.093,1.459,0.771,0.625,0.13,0.155
32,2018,Qatar,6.374,1.649,1.303,0.748,0.654,0.256,0.171
33,2018,Saudi Arabia,6.371,1.379,1.331,0.633,0.509,0.098,0.127
34,2018,Singapore,6.343,1.529,1.451,1.008,0.631,0.261,0.457
35,2018,Malaysia,6.322,1.161,1.258,0.669,0.356,0.311,0.059
36,2018,Spain,6.31,1.251,1.538,0.965,0.449,0.142,0.074
37,2018,Colombia,6.26,0.96,1.439,0.635,0.531,0.099,0.039
38,2018,Trinidad & Tobago,6.192,1.223,1.492,0.564,0.575,0.171,0.019
39,2018,Slovakia,6.173,1.21,1.537,0.776,0.354,0.118,0.014
40,2018,El Salvador,6.167,0.806,1.231,0.639,0.461,0.065,0.082
41,2018,Nicaragua,6.141,0.668,1.319,0.7,0.527,0.208,0.128
42,2018,Poland,6.123,1.176,1.448,0.781,0.546,0.108,0.064
43,2018,Bahrain,6.105,1.338,1.366,0.698,0.594,0.243,0.123
44,2018,Uzbekistan,6.096,0.719,1.584,0.605,0.724,0.328,0.259
45,2018,Kuwait,6.083,1.474,1.301,0.675,0.554,0.167,0.106
46,2018,Thailand,6.072,1.016,1.417,0.707,0.637,0.364,0.029
47,2018,Italy,6,1.264,1.501,0.946,0.281,0.137,0.028
48,2018,Ecuador,5.973,0.889,1.33,0.736,0.556,0.114,0.12
49,2018,Belize,5.956,0.807,1.101,0.474,0.593,0.183,0.089
50,2018,Lithuania,5.952,1.197,1.527,0.716,0.35,0.026,0.006
51,2018,Slovenia,5.948,1.219,1.506,0.856,0.633,0.16,0.051
52,2018,Romania,5.945,1.116,1.219,0.726,0.528,0.088,0.001
53,2018,Latvia,5.933,1.148,1.454,0.671,0.363,0.092,0.066
54,2018,Japan,5.915,1.294,1.462,0.988,0.553,0.079,0.15
55,2018,Mauritius,5.891,1.09,1.387,0.684,0.584,0.245,0.05
56,2018,Jamaica,5.89,0.819,1.493,0.693,0.575,0.096,0.031
57,2018,South Korea,5.875,1.266,1.204,0.955,0.244,0.175,0.051
58,2018,Northern Cyprus,5.835,1.229,1.211,0.909,0.495,0.179,0.154
59,2018,Russia,5.81,1.151,1.479,0.599,0.399,0.065,0.025
60,2018,Kazakhstan,5.79,1.143,1.516,0.631,0.454,0.148,0.121
61,2018,Cyprus,5.762,1.229,1.191,0.909,0.423,0.202,0.035
62,2018,Bolivia,5.752,0.751,1.223,0.508,0.606,0.141,0.054
63,2018,Estonia,5.739,1.2,1.532,0.737,0.553,0.086,0.174
64,2018,Paraguay,5.681,0.835,1.522,0.615,0.541,0.162,0.074
65,2018,Peru,5.663,0.934,1.249,0.674,0.53,0.092,0.034
66,2018,Kosovo,5.662,0.855,1.23,0.578,0.448,0.274,0.023
67,2018,Moldova,5.64,0.657,1.301,0.62,0.232,0.171,0
68,2018,Turkmenistan,5.636,1.016,1.533,0.517,0.417,0.199,0.037
69,2018,Hungary,5.62,1.171,1.401,0.732,0.259,0.061,0.022
70,2018,Libya,5.566,0.985,1.35,0.553,0.496,0.116,0.148
71,2018,Philippines,5.524,0.775,1.312,0.513,0.643,0.12,0.105
72,2018,Honduras,5.504,0.62,1.205,0.622,0.459,0.197,0.074
73,2018,Belarus,5.483,1.039,1.498,0.7,0.307,0.101,0.154
74,2018,Turkey,5.483,1.148,1.38,0.686,0.324,0.106,0.109
75,2018,Pakistan,5.472,0.652,0.81,0.424,0.334,0.216,0.113
76,2018,Hong Kong,5.43,1.405,1.29,1.03,0.524,0.246,0.291
77,2018,Portugal,5.41,1.188,1.429,0.884,0.562,0.055,0.017
78,2018,Serbia,5.398,0.975,1.369,0.685,0.288,0.134,0.043
79,2018,Greece,5.358,1.154,1.202,0.879,0.131,0,0.044
80,2018,Lebanon,5.358,0.965,1.179,0.785,0.503,0.214,0.136
81,2018,Montenegro,5.347,1.017,1.279,0.729,0.259,0.111,0.081
82,2018,Croatia,5.321,1.115,1.161,0.737,0.38,0.12,0.039
83,2018,Dominican Republic,5.302,0.982,1.441,0.614,0.578,0.12,0.106
84,2018,Algeria,5.295,0.979,1.154,0.687,0.077,0.055,0.135
85,2018,Morocco,5.254,0.779,0.797,0.669,0.46,0.026,0.074
86,2018,China,5.246,0.989,1.142,0.799,0.597,0.029,0.103
